Name,Gender,Race,Appearance,Background,Goals,Personality,Profession,Quest Reward,Secret,Mothers Name,Fathers Name,Number of Brothers,Number of Sisters
Mythil Tolmie,Male,Human,Dishelved clothing,Former sickly child who overcompensates as an adult,See an angel,Avoids making any kind of physical contact; grows noticeably repulsed if touched and tries to clean self as soon as possible,Shepherd,Become your follower,Has some orc blood in their family,Blodeuwedd,Lesphares,4,4
Cranogwen Oliver,Female,Human,ored hair,Military veteran,Erase past failures with a single dramatic act,Great with animals,Messenger,Perform a skill check for you,an attractive peasant,Gwenith,Glyn,1,3
Gilbert Archibald,Male,Tabaxi,Missing an arm,Former indentured servant,Continue to live in family estate despite danger,Makes animal noises when feeling threatened or excited,Infirmarer,Cast a spell for you at no cost,Engages in some deviant behavior,Melody,Gwlyddyn,3,2
Llevelys Salmond,Male,Human,Strangely tall,Escaped slave,Humiliate a rival,Twirls hair or tugs beard,Miner,Become your squire,Is having an affair,Torina,Angawdd,0,0
Mairwen Peters,Female,Human,Flamboyant clothes,Former sickly child who overcompensates as an adult,Get into the history books,Is a failed actor and blames everyone else for it,Armorer,Offer the hand of a relative in marriage,Is a member of a secret local cult,Jessika,Steven,0,0
Eira Munn,Female,Human,Harelipped,Former sickly child who overcompensates as an adult,Build a house for future generations,Paces,Almoner,Spy on your behalf,Makes secret donations,Jaenelle,Maddock,0,0
Illilorn Buidheach,Male,Human,Limps,Former devout discipline now cynical non-believer,Become the recipient of an actual miracle,Chews something,Pitch Maker,Pray for you,Is the bastard child of a noble,Tolida,Gwales,0,0
Fyn Revie,Male,Human,Thin,Military veteran,See a particular holy text fresco or building,Haggles over everything,Custodian,Tell you forbidden lore,Knows how to safely cook a poisonous fish,Beca,Iustig,0,0
Tethran Greig,Male,Human,Dirty nails,Pledged to keep a fantastic secret,Commit a holy text to memory,Asks for advice or opinions about very unlikely situations,Madam,Introduce you to a friend,Has magic beans,Arina,Perol,0,0
Shane Rothes,Male,Human,Beautiful curves/muscles,Lost a magic item with potent abilities,Earn enough money to retire,Prone to predictions of doom,Deckhand,Call in an important favor and use it on your behalf,Is having an affair,Kilia,Fronar,0,0
